from,to,distance,accessible
stair_gf_5,room_gf_114,96.82,true
stair_gf_5,room_gf_115,111.08,true
stair_gf_5,room_gf_122,57.78,true
stair_gf_5,entrance_3,8.86,true
stair_gf_5,entrance_17,89.33,true
stair_gf_5,corridor_gf_2,79.76,true
stair_gf_5,corridor_gf_3,40.5,true
stair_gf_5,corridor_gf_100,60.06,true
stair_gf_5,corridor_gf_5,95.81,true
stair_gf_5,corridor_gf_160,102.32,true
stair_gf_5,corridor_gf_22,119.77,true
stair_gf_5,corridor_gf_24,102.88,true
stair_gf_5,corridor_gf_25,58.59,true
stair_gf_5,corridor_gf_26,73.45,true
stair_gf_5,corridor_gf_27,16.99,true
stair_gf_5,corridor_gf_28,63.92,true
stair_gf_5,corridor_gf_29,98.66,true
stair_gf_5,corridor_gf_30,111.4,true
stair_gf_5,corridor_gf_34,43.09,true
stair_gf_5,room_gf_126,47.04,true
stair_gf_5,corridor_gf_35,24.39,true
stair_gf_5,corridor_gf_36,19.23,true
stair_gf_5,corridor_gf_37,41.83,true
stair_gf_5,corridor_gf_38,50.75,true
stair_gf_5,corridor_gf_39,63.22,true
stair_gf_5,corridor_gf_40,98.97,true
stair_gf_5,corridor_gf_41,84.82,true
stair_gf_5,corridor_gf_43,62.81,true
stair_gf_5,corridor_gf_44,70.19,true
stair_gf_5,corridor_gf_45,83.31,true
stair_gf_5,corridor_gf_46,118.67,true
stair_gf_5,room_gf_150,84.07,true
lift_gf,stair_gf_6,94.85,true
lift_gf,stair_gf_11,79.28,true
lift_gf,room_gf_4,103.4,true
lift_gf,room_gf_5,105.69,true
lift_gf,room_gf_6,74.51,true
lift_gf,room_gf_7,67.4,true
lift_gf,room_gf_8,67.76,true
lift_gf,room_gf_9,52.49,true
lift_gf,room_gf_10,39.33,true
lift_gf,room_gf_11,61.78,true
lift_gf,room_gf_12,59.04,true
lift_gf,room_gf_13,93.24,true
lift_gf,room_gf_14,60.93,true
lift_gf,room_gf_15,66.18,true
lift_gf,room_gf_16,93.22,true
lift_gf,room_gf_17,92.82,true
lift_gf,room_gf_18,104.4,true
lift_gf,room_gf_200,97.32,true
lift_gf,room_gf_20,113.62,true
lift_gf,room_gf_22,108.27,true
lift_gf,room_gf_32,66.73,true
lift_gf,room_gf_33,74.88,true
lift_gf,room_gf_34,46.82,true
lift_gf,room_gf_35,43.19,true
lift_gf,room_gf_36,51.85,true
lift_gf,room_gf_37,65.2,true
lift_gf,room_gf_38,62.51,true
lift_gf,room_gf_39,69.57,true
lift_gf,room_gf_156,77.57,true
lift_gf,room_gf_41,112.75,true
lift_gf,room_gf_42,112.97,true
lift_gf,room_gf_87,90.86,true
lift_gf,room_gf_96,115.57,true
lift_gf,room_gf_98,60.82,true
lift_gf,room_gf_99,75.3,true
lift_gf,room_gf_155,72.16,true
lift_gf,room_gf_112,87.28,true
lift_gf,room_gf_113,43.2,true
lift_gf,room_gf_114,98.6,true
lift_gf,room_gf_115,118.99,true
lift_gf,room_gf_122,68.54,true
lift_gf,entrance_3,19.89,true
lift_gf,entrance_17,93.4,true
lift_gf,corridor_gf_2,84.29,true
lift_gf,corridor_gf_3,51.57,true
lift_gf,corridor_gf_100,69.2,true
lift_gf,corridor_gf_5,102.93,true
lift_gf,corridor_gf_160,98.56,true
lift_gf,corridor_gf_22,109.19,true
lift_gf,corridor_gf_24,94.65,true
lift_gf,corridor_gf_25,47.96,true
lift_gf,corridor_gf_26,66.7,true
lift_gf,corridor_gf_27,10.37,true
lift_gf,corridor_gf_28,74.99,true
lift_gf,corridor_gf_29,106.78,true
lift_gf,corridor_gf_30,117.91,true
lift_gf,corridor_gf_34,54.08,true
lift_gf,room_gf_126,52.96,true
lift_gf,corridor_gf_35,35.47,true
lift_gf,corridor_gf_36,28.75,true
lift_gf,corridor_gf_37,52.21,true
lift_gf,corridor_gf_38,58.71,true
lift_gf,corridor_gf_39,69.07,true
lift_gf,corridor_gf_40,102.55,true
lift_gf,corridor_gf_41,85.88,true
lift_gf,corridor_gf_43,51.68,true
lift_gf,corridor_gf_44,59.74,true
lift_gf,corridor_gf_45,74.0,true
lift_gf,corridor_gf_46,110.72,true
lift_gf,corridor_gf_48,119.8,true
lift_gf,room_gf_150,87.19,true
stair_gf_6,stair_gf_7,75.84,true
stair_gf_6,stair_gf_8,76.22,true
stair_gf_6,stair_gf_15,92.7,true
stair_gf_6,room_gf_10,107.99,true
stair_gf_6,room_gf_12,115.68,true
stair_gf_6,room_gf_14,104.29,true
stair_gf_6,room_gf_15,96.03,true
stair_gf_6,room_gf_16,101.57,true
stair_gf_6,room_gf_17,68.52,true
stair_gf_6,room_gf_18,76.6,true
stair_gf_6,room_gf_200,78.89,true
stair_gf_6,room_gf_20,68.52,true
stair_gf_6,room_gf_21,69.45,true
stair_gf_6,room_gf_22,50.2,true
stair_gf_6,room_gf_23,101.23,true
stair_gf_6,room_gf_24,77.74,true
stair_gf_6,room_gf_25,53.65,true
stair_gf_6,room_gf_160,85.81,true
stair_gf_6,room_gf_26,65.97,true
stair_gf_6,room_gf_27,109.39,true
stair_gf_6,room_gf_28,104.14,true
